Symbol,Company Name
4707.KL,Nestlé (Malaysia) Berhad
1155.KL,Malayan Banking Berhad
1066.KL,RHB Capital Berhad
1295.KL,Public Bank Berhad
6012.KL,Maxis Berhad
5819.KL,Hong Leong Bank Berhad
1082.KL,Hong Leong Financial Group Berhad
5183.KL,PCHEM
5225.KL,IHH Healthcare Berhad
3816.KL,MISC
5347.KL,Tenaga Nasional Berhad
6033.KL,Petronas Gas Bhd
4715.KL,Genting Malaysia Berhad
4863.KL,Telekom Malaysia Berhad
3182.KL,Genting Berhad
6888.KL,Axiata Group Berhad
8869.KL,Press Metal Bhd
5681.KL,Petronas Dagangan Bhd
3034.KL,Hap Seng Consolidated Berhad
7277.KL,Dialog Group Berhad
5296.KL,MRDIY
2445.KL,Kuala Lumpur Kepong Berhad
1961.KL,IOI Corp.Bhd
4197.KL,Sime Darby Berhad
5285.KL,SIMEPLT
5168.KL,Hartalega Holdings Berhad
7113.KL,Top Glove Corporation Berhad
4065.KL,PPB Group Berhad
1023.KL,CIMB Group Holdings Berhad
6947.KL,DiGi.Com Berhad
